"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RDX",-2.34263317625503,8.35559309368011,-9.97905813533085,1.02035647348178e-09,8.25976882318234e-06,12.1060733388093
"TRDV3",-1.47737358323759,5.29904958620287,-9.17141502983018,4.74157082588531e-09,2.2114186594988e-05,10.717297499355
"ADPRH",-1.14811271571665,6.91657850236019,-9.10474429734744,5.40240059485708e-09,2.2114186594988e-05,10.5983830241476
"STX11",-2.73339760549446,7.19459099575583,-8.82462191720405,9.40549393006618e-09,2.8306652917034e-05,10.0914921890243
"SPOCK2",-1.80232140195208,8.55222685027093,-8.68196476477917,1.25230624763373e-08,3.20386899628993e-05,9.82880945149728
"GLIPR2",-1.59570958438074,8.88818296166984,-8.3645711432762,2.39050636450109e-08,4.89330547886641e-05,9.23328979347355
"TRDC",-2.08702914051572,8.00505049609057,-8.36450598529085,2.39082693060361e-08,4.89330547886641e-05,9.23316596208362
"KLRD1",-1.68628179508998,6.50240815006696,-8.17727941352268,3.52284153112655e-08,6.34903535084572e-05,8.87466439980184
"KLRF1",-2.62201416954065,6.72359356938675,-8.1340762434393,3.85502354917305e-08,6.34903535084572e-05,8.79117700955332
"FLI1",-1.78353563121814,6.84700002584183,-8.11251608870613,4.03270921781377e-08,6.34903535084572e-05,8.74940643595587
"TRPV2",-1.19215406146529,7.54260921776464,-8.01642281560414,4.93341048151891e-08,7.21229373751769e-05,8.56236962643826
"UTRN",-1.5379503260153,8.52607821726645,-7.81732227427577,7.52061346890912e-08,9.054376227539e-05,8.17033786557053
"DENND3",-1.18846990601577,7.5294420200378,-7.75576601475246,8.57690478540049e-08,9.75241723571066e-05,8.0479054001879
"GABARAPL1",-1.32054530556019,8.12696749398839,-7.62957309127944,1.12468179597274e-07,0.000121151906937758,7.79510562811676
"LIN7A",-1.12889956300983,5.07131961882289,-7.359938449093,2.02119951885351e-07,0.000179860393705977,7.24684633900728
"PLAC8",-1.56231390185384,9.73352305619776,-7.31003384563701,2.25521474125267e-07,0.00019232283378841,7.14416995826104
"TBC1D2",-1.11950505865484,8.06067706169424,-7.2062351306103,2.83535393892598e-07,0.000214930329881474,6.92941480599647
"CARD16",-1.32703108728228,9.3756191158254,-7.12899955003841,3.36499505554846e-07,0.00024094102726945,6.76857681806663
"KLRC4-KLRK1",-1.35107762726452,7.08564867862242,-7.10876339483196,3.51988035145476e-07,0.00024094102726945,6.7262903111006
"ARHGAP31",-1.1250970315985,6.8453451755675,-7.10726304399534,3.53165135001882e-07,0.00024094102726945,6.72315269309097
"PRF1",-1.76035826422479,8.72486910519731,-7.09216309511525,3.65239185510562e-07,0.000241140335801441,6.69155634309773
"FGFBP2",-3.00764343813748,6.46340143501248,-7.03822234729929,4.11942167224574e-07,0.000257700789332634,6.57841229356943
"ITM2A",-1.7605794526117,9.83335395787587,-7.02441182007573,4.2485689823669e-07,0.000257700789332634,6.54937517791584
"RASSF5",-1.32841266857302,8.3060131624287,-7.02101631606813,4.28095316231472e-07,0.000257700789332634,6.54223173373775
"PDE3B",-1.1064559080261,6.24983121681928,-6.98390035513765,4.65190598848961e-07,0.000272030171046905,6.46403745266607
"TSPAN18",-1.15904219583235,7.13033808633902,-6.92301970735851,5.33331797578978e-07,0.00029710043207266,6.3353422333129
"TNKS2",-1.18274812674369,7.63409579915064,-6.91989425474757,5.37094639502049e-07,0.00029710043207266,6.32872084244387
"ANKRD29",-2.48844399451864,7.30859626176134,-6.89478287646774,5.68332736953678e-07,0.000306107003348182,6.27547015105036
"PTGER4",-1.3604995920913,8.52723728593024,-6.86309540438207,6.10427949712966e-07,0.000320349457609623,6.20814448349257
"SLC39A8",-1.32065407885124,7.06947386872148,-6.81100242968817,6.86706187703613e-07,0.000351370388593246,6.09715026671098
"RXFP1",-2.14685161174078,5.46714806296484,-6.78862531430449,7.2240956296972e-07,0.000360623329885396,6.04935234413421
"RAB8B",-1.83495871055978,8.34047491772367,-6.7645105401923,7.63020782973531e-07,0.000365506035479231,5.99776296362497
"BST1",-1.44253788938746,7.13839713357193,-6.74398787603207,7.99422410088169e-07,0.000365506035479231,5.95379329153993
"ACVRL1",-1.42210283723795,8.14410516572634,-6.7416809891902,8.03623960354004e-07,0.000365506035479231,5.94884707403448
"ITPRID2",-1.46398385870564,7.51186139381401,-6.69230143393312,8.99193845070965e-07,0.000393999454865394,5.84279190570135
"GYPC",-1.29879756551531,9.57895540033729,-6.67599667031609,9.33246132423628e-07,0.000393999454865394,5.80769800311533
"GNAQ",-1.00191254215525,8.95179704627704,-6.64055257405644,1.01190182702592e-06,0.000404026667011164,5.73128092742228
"LCP1",-1.79853971194222,10.6503038952881,-6.63428549499595,1.02650054646898e-06,0.000404026667011164,5.71775095815503
"GRK5",-1.31712542237767,7.59849252809707,-6.60500601859029,1.09761664490982e-06,0.000412255756855579,5.65446738491766
"NAB1",-1.29801333999054,7.12744804612421,-6.58453652026602,1.15031371883912e-06,0.000412255756855579,5.6101549164728
"EIF4E3",-1.38798272517461,7.23419059546421,-6.5816033435511,1.1580743465401e-06,0.000412255756855579,5.60380042688426
"RNF144B",-1.18782104650322,7.80792163296046,-6.57778296948553,1.16826275944807e-06,0.000412255756855579,5.59552211949716
"P2RY14",-1.12509400983142,8.20845027616513,-6.53643755017228,1.28457632312977e-06,0.000445617349245713,5.50580318122058
"KLRB1",-1.77096702452439,8.34388712380045,-6.51761438227051,1.3413929851632e-06,0.00045757150378892,5.46487974045338
"NKG7",-2.12690697174677,8.53654816171511,-6.50592033353532,1.37797962506586e-06,0.000462346048954476,5.4394314219332
"CD52",-1.51250713565348,10.9799375303282,-6.46012873264749,1.53135478286565e-06,0.000475976952095916,5.33960251338159
"LYVE1",-2.97401915197906,7.41646272755497,-6.45938734719449,1.53397679197783e-06,0.000475976952095916,5.33798391363113
"ACE",-1.45675300336783,6.98854584809971,-6.45406187745794,1.55294649344994e-06,0.000475976952095916,5.32635512579505
"CD247",-1.21380989975264,8.39530141118678,-6.43649721372966,1.61723118747552e-06,0.000480473767970995,5.28797364076391
"TBX21",-1.23747464669943,6.4659218164777,-6.43580707234351,1.6198118918258e-06,0.000480473767970995,5.28646473190826
"GIMAP6",-2.16634861783247,9.03571224092564,-6.4020329481733,1.7513924496573e-06,0.000497857628710222,5.21254409203253
"S100A3",-1.79673883713962,7.20499818246973,-6.39072424052369,1.79785225946998e-06,0.00049814418919764,5.18775907273372
